provinsi,kab_kota
Sulawesi Tengah,5. Kabupaten Donggala
Sulawesi Tengah,6. Kabupaten Morowali
Sulawesi Tengah,7. Kabupaten Morowali Utara
Sulawesi Tengah,8. Kabupaten Parigi Moutong
Sulawesi Tengah,9. Kabupaten Poso
Sulawesi Tengah,10. Kabupaten Sigi
Sulawesi Tengah,11. Kabupaten Tojo Una-Una
Sulawesi Tengah,12. Kabupaten Toli-Toli
Sulawesi Tengah,13. Kota Palu
Sulawesi Utara,1. Kabupaten Bolaang Mongondow
Sulawesi Utara,2. Kabupaten Bolaang Mongondow Selatan
Sulawesi Utara,3. Kabupaten Bolaang Mongondow Timur
Sulawesi Utara,4. Kabupaten Bolaang Mongondow Utara
Sulawesi Utara,5. Kabupaten Kepulauan Sangihe
Sulawesi Utara,6. Kabupaten Kepulauan Siau Tagulandang Biaro
Sulawesi Utara,7. Kabupaten Kepulauan Talaud
Sulawesi Utara,8. Kabupaten Minahasa
Sulawesi Utara,9. Kabupaten Minahasa Selatan
Sulawesi Utara,10. Kabupaten Minahasa Tenggara
Sulawesi Utara,11. Kabupaten Minahasa Utara
Sulawesi Utara,12. Kota Bitung
Sulawesi Utara,13. Kota Kotamobagu
Sulawesi Utara,14. Kota Manado
Sulawesi Utara,15. Kota Tomohon
Sulawesi Barat,1. Kabupaten Majene
Sulawesi Barat,2. Kabupaten Mamasa
Sulawesi Barat,3. Kabupaten Mamuju
Sulawesi Barat,4. Kabupaten Mamuju Tengah
Sulawesi Barat,5. Kabupaten Mamuju Utara
Sulawesi Barat,6. Kabupaten Polewali Mandar
Sulawesi Barat,7. Kota Mamuju
Maluku,1. Kabupaten Buru
Maluku,2. Kabupaten Buru Selatan
Maluku,3. Kabupaten Kepulauan Aru
Maluku,4. Kabupaten Maluku Barat Daya
Maluku,5. Kabupaten Maluku Tengah
Maluku,6. Kabupaten Maluku Tenggara
Maluku,7. Kabupaten Maluku Tenggara Barat
Maluku,8. Kabupaten Seram Bagian Barat
Maluku,9. Kabupaten Seram Bagian Timur
Maluku,10. Kota Ambon
Maluku,11. Kota Tual
Maluku Utara,1. Kabupaten Halmahera Barat
Maluku Utara,2. Kabupaten Halmahera Tengah
Maluku Utara,3. Kabupaten Halmahera Utara
